Round: 3, Step 0
G_mean: 0.7446: 0.6763,8.9786,12.6515,106,374,67,2,95,0.429,0.0401
G_mean: 0.9329: 0.2219,5.589,1.4393,259,878,14,2,89,0.4092,0.0337
G_mean: 0.7777: 0.0587,1.5452,1.5392,205,392,49,2,20,0.1461,0.0491
G_mean: 0.7118: 0.4899,4.4936,3.6419,48,250,23,9,55,0.968,0.0462
G_mean: 0.4946: 0.7188,5.9621,1.4537,150,1008,16,7,13,0.0001,0.0206
G_mean: 0.0000: 0.4712,3.338,13.0344,222,909,74,9,97,0.7474,0.0912
G_mean: 0.7126: 0.7512,1.0181,3.5128,263,41,66,5,43,0.6065,0.0697
G_mean: 0.5617: 0.0358,2.6607,8.301,140,493,53,9,7,0.9525,0.0619
G_mean: 0.6213: 0.6892,8.3607,11.1474,280,196,88,7,27,0.1049,0.0575
G_mean: 0.7382: 0.4968,8.1579,10.1778,104,405,99,3,94,0.9364,0.0271
G_mean: 0.7416: 0.1821,2.2247,17.8611,117,489,22,9,66,0.8926,0.0851
G_mean: 0.7257: 0.0138,2.7326,16.7175,224,998,6,2,42,0.2064,0.0357
G_mean: 0.7446: 0.812,9.0332,6.1373,47,938,62,8,22,0.1935,0.0793
G_mean: 0.7382: 0.8994,8.6871,11.925,110,467,49,4,19,0.9029,0.0088
G_mean: 0.7382: 0.3159,6.2442,5.1464,17,319,59,2,83,0.569,0.0601
G_mean: 0.7446: 0.5424,5.2585,5.1967,200,671,19,3,100,0.9302,0.0347
G_mean: 0.7446: 0.439,3.3545,15.3525,177,692,11,7,43,0.6314,0.0584
G_mean: 0.1645: 0.6148,8.872,4.0718,298,500,32,7,41,0.7118,0.0218
G_mean: 0.3134: 0.933,4.2964,18.5279,254,386,37,6,91,0.1284,0.0363
G_mean: 0.0000: 0.0158,2.1623,6.2329,230,937,40,5,6,0.1058,0.0533
G_mean: 0.1034: 0.4372,3.1973,3.671,239,834,81,10,67,0.0949,0.0282
G_mean: 0.6983: 0.2375,8.2019,16.1389,243,578,22,3,59,0.9474,0.0529
G_mean: 0.7082: 0.0254,7.5128,10.5097,264,171,30,3,41,0.2332,0.0151
G_mean: 0.9446: 0.9394,7.5743,2.3577,15,433,70,3,99,0.485,0.0054
G_mean: 0.5798: 0.5088,3.2904,3.0435,211,355,38,5,74,0.1161,0.0035
G_mean: 0.7446: 0.9374,8.0838,17.9058,90,513,44,9,86,0.4616,0.0213
G_mean: 0.3936: 0.7111,8.4722,17.0993,291,226,79,6,78,0.9898,0.0291
G_mean: 0.1244: 0.6291,3.1707,1.7661,289,119,96,9,88,0.7307,0.057
G_mean: 0.7446: 0.7966,4.0565,10.406,96,640,42,6,43,0.834,0.0933
G_mean: 0.7185: 0.7117,9.38,19.5759,53,438,47,8,87,0.2664,0.065
G_mean: 0.0000: 0.4374,8.0302,3.7802,224,88,5,8,89,0.2763,0.0894
G_mean: 0.0000: 0.8381,9.201,19.5971,288,575,26,9,97,0.7721,0.0628
G_mean: 0.6816: 0.7586,5.6507,15.4853,109,36,15,9,50,0.692,0.0374
G_mean: 0.0000: 0.8416,4.3606,3.3197,209,390,68,8,86,0.1011,0.0392
G_mean: 0.0000: 0.4329,7.5759,2.25,295,782,21,4,100,0.7239,0.0821
G_mean: 0.6834: 0.6279,7.2409,15.3012,74,241,62,9,44,0.9939,0.0389
G_mean: 0.7185: 0.237,8.9787,19.3364,86,493,90,3,10,0.6822,0.0281
G_mean: 0.7932: 0.2516,1.5033,5.4759,159,373,66,7,29,0.7401,0.0476
G_mean: 0.0000: 0.5191,6.7855,7.0104,264,653,39,10,22,0.5613,0.0486
G_mean: 0.8976: 0.7078,9.3212,5.22,78,924,12,4,52,0.3461,0.061
G_mean: 0.0000: 0.4599,1.4905,10.3553,98,605,14,7,3,0.9488,0.0279
